specimen_id,species_code,event_id,organism_weight,fork_length
25424,21740,118,0.362,36.0
25425,21740,118,0.682,45.0
25426,21740,118,0.696,46.0
25427,21740,118,0.624,50.0
25428,21740,118,0.656,46.0
25429,21740,118,0.598,45.0
25430,21740,118,0.29,34.0
25431,21740,118,0.362,38.0
25432,21740,118,0.574,45.0
25433,21740,118,0.626,44.0
25434,21740,118,0.716,47.0
27563,21740,127,0.612,46.0
27564,21740,127,0.548,43.0
27565,21740,127,0.622,45.0
27566,21740,127,0.684,46.0
27567,21740,127,0.412,41.0
27568,21740,127,0.55,42.0
27569,21740,127,0.512,44.0
27570,21740,127,0.544,44.0
27571,21740,127,0.786,47.0
27572,21740,127,0.518,44.0
27573,21740,127,0.518,45.0
27574,21740,127,0.766,48.0
27575,21740,127,0.662,44.0
27583,21740,127,0.528,44.0
27584,21740,127,0.524,42.0
27585,21740,127,0.63,46.0
27586,21740,127,0.648,46.0
27587,21740,127,0.622,44.0
27588,21740,127,0.612,45.0
27589,21740,127,0.654,44.0
27590,21740,127,0.664,47.0
27591,21740,127,0.506,41.0
27592,21740,127,0.706,47.0
27593,21740,127,0.626,46.0
27594,21740,127,0.72,48.0
27595,21740,127,0.816,50.0
27596,21740,127,0.626,45.0
27597,21740,127,0.696,47.0
27598,21740,127,0.554,43.0
25480,21740,118,0.826,53.0
25481,21740,118,0.582,44.0
25482,21740,118,0.6,46.0
25483,21740,118,0.216,30.0
25484,21740,118,0.298,34.0
25485,21740,118,0.676,47.0
25486,21740,118,0.274,33.0
25487,21740,118,0.722,52.0
25488,21740,118,0.22,31.0
25489,21740,118,0.278,34.0
25490,21740,118,0.762,49.0
25491,21740,118,0.116,24.0
25492,21740,118,0.084,23.0
25493,21740,118,0.114,25.0
25494,21740,118,0.182,29.0
